date,temp,humidity,light,soil
1361851765,71.2,0.0,44.0,37.0,
1361851885,72.08,0.0,44.0,37.0,
1361852005,72.08,0.0,44.0,37.0,
1361852125,72.08,0.0,44.0,37.0,
1361852245,72.08,0.0,44.0,37.0,
1361852365,72.08,0.0,44.0,37.0,
1361852485,72.08,0.0,44.0,37.0,
1361852523,72.08,0.0,44.0,37.0,
1361852592,72.08,0.0,44.0,37.0,
1361852605,72.08,0.0,44.0,37.0,
1361852713,72.08,0.0,44.0,37.0,
1361852725,72.08,0.0,44.0,37.0,
1361852756,72.08,0.0,44.0,37.0,
1361852810,72.08,0.0,44.0,37.0,
1361852930,72.08,0.0,44.0,37.0,
1361853024,72.08,0.0,44.0,37.0,
1361853050,72.08,0.0,44.0,36.0,
1361853144,72.08,0.0,44.0,37.0,
1361853170,72.08,0.0,44.0,37.0,
1361853264,72.08,0.0,44.0,37.0,
1361853290,72.08,0.0,44.0,37.0,
1361853384,72.08,0.0,44.0,37.0,
1361853410,72.08,0.0,44.0,37.0,
1361853504,72.08,0.0,44.0,37.0,
1361854865,72.08,0.0,44.0,36.0,
1361854985,72.08,0.0,44.0,36.0,
1361855105,72.08,0.0,44.0,36.0,
1361855225,72.08,0.0,44.0,36.0,
1361855345,72.08,0.0,44.0,36.0,
1361855465,72.96,0.0,44.0,36.0,
1361855585,72.08,0.0,44.0,36.0,
1361855705,72.08,0.0,44.0,36.0,
1361855825,72.08,0.0,44.0,36.0,
1361855945,72.08,0.0,45.0,36.0,
1361856065,72.08,0.0,44.0,36.0,
1361856185,72.08,0.0,44.0,36.0,
1361856305,72.08,0.0,44.0,36.0,
1361856425,72.08,0.0,45.0,36.0,
1361856545,72.08,0.0,45.0,36.0,
1361856666,72.08,0.0,45.0,36.0,
1361856786,72.08,0.0,45.0,35.0,
1361856906,72.08,0.0,45.0,35.0,
1361857026,72.08,0.0,45.0,35.0,
1361857146,72.08,0.0,45.0,35.0,
1361857266,72.08,0.0,45.0,35.0,
1361857386,72.08,0.0,45.0,35.0,
1361857506,72.08,0.0,45.0,35.0,
1361857626,72.08,0.0,45.0,35.0,
1361857746,72.08,0.0,45.0,35.0,
1361857866,72.08,0.0,45.0,35.0,
1361857986,72.08,0.0,45.0,35.0,
1361858106,72.08,0.0,45.0,35.0,
1361858226,72.08,0.0,1.0,35.0,
1361858346,72.08,0.0,1.0,34.0,
1361858466,72.08,0.0,1.0,35.0,
1361858586,72.08,0.0,1.0,35.0,
1361858706,72.08,0.0,1.0,35.0,
1361858826,72.08,0.0,1.0,35.0,
1361858946,72.08,0.0,1.0,35.0,
1361859066,72.08,0.0,1.0,35.0,
1361859187,72.08,0.0,1.0,34.0,
1361859307,72.08,0.0,1.0,34.0,
1361859427,72.08,0.0,1.0,34.0,
1361859547,72.08,0.0,1.0,34.0,
1361859667,72.08,0.0,1.0,34.0,
1361859787,72.08,0.0,1.0,34.0,
1361859907,72.08,0.0,1.0,34.0,
